Index;Sexe;lv1;lv2;spe1;spe2;option1;option2
47;G;ANGLAIS LV1; ALLEMAND LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
48;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; ARTS PLASTIQUES;
49;G;ANGLAIS LV1; ITALIEN LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
50;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
51;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
52;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; ARTS PLASTIQUES;
53;F;ANGLAIS LV1; ESPAGNOL LV2; HUMAN.LITTER.PHILO.; SC. ECONO.& SOCIALES;;
54;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
55;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
56;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
57;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
58;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE;;
59;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
60;G;ANGLAIS LV1; ESPAGNOL LV2; NUMERIQUE SC.INFORM.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
61;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
62;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
63;G;ANGLAIS LV1; ESPAGNOL LV2; NUMERIQUE SC.INFORM.; MATHEMATIQUES; MATHS EXPERTES;
64;F;ANGLAIS LV1; ESPAGNOL LV2; SCIENCES VIE & TERRE; HIST.GEO.GEOPOL.S.P.;;
65;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE;;
66;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
67;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
68;G;ANGLAIS LV1; ARABE LV2 CORRESP.; PHYSIQUE-CHIMIE; MATHEMATIQUES;;
69;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; LLC ANGLAIS CORR;;
70;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; PORTUG LV3 HOR.ETAB;
71;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
72;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; HIST.GEO.GEOPOL.S.P.;;
73;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; HIST.GEO.GEOPOL.S.P.; PORTUG LV3 HOR.ETAB;
74;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
75;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SC. ECONO.& SOCIALES;;
76;G;ANGLAIS LV1; ALLEMAND LV2; MATHEMATIQUES; SC. ECONO.& SOCIALES; MATHS EXPERTES;
77;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE;;
78;G;ANGLAIS LV1; CHINOIS LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES; ALLEMAND LV3;
79;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE;;
80;G;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SC. ECONO.& SOCIALES;;
81;G;ANGLAIS LV1; ITALIEN LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; LCA LATIN;
82;G;ANGLAIS LV1; ALLEMAND LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES;
83;F;ANGLAIS LV1; ALLEMAND LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES; HANDBALL;
84;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
85;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES; HANDBALL;
86;F;ANGLAIS LV1; ESPAGNOL LV2; SCIENCES VIE & TERRE; PHYSIQUE-CHIMIE; MATHS COMPLEMENTAIRE;
87;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE;;
88;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SCIENCES VIE & TERRE;;
89;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES; ANGLAIS LV SECTION
90;G;ANGLAIS LV1; ESPAGNOL LV2; NUMERIQUE SC.INFORM.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
91;G;ANGLAIS LV1; ESPAGNOL LV2; PHYSIQUE-CHIMIE; SCIENCES VIE & TERRE; LCA LATIN; MATHS COMPLEMENTAIRE
92;F;ANGLAIS LV1; ALLEMAND LV2; ARTS PLASTIQUES; HUMAN.LITTER.PHILO.;;
93;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE; HANDBALL;
94;G;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SC. ECONO.& SOCIALES;;
95;G;ALLEMAND LV1; ANGLAIS LV2; PHYSIQUE-CHIMIE; SCIENCES VIE & TERRE; MATHS COMPLEMENTAIRE;
96;G;ANGLAIS LV1; ESPAGNOL LV2; HUMAN.LITTER.PHILO.; HIST.GEO.GEOPOL.S.P.;;
97;F;ANGLAIS LV1; ALLEMAND LV2; ARTS PLASTIQUES; HUMAN.LITTER.PHILO.;;
98;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
99;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES;
100;G;ANGLAIS LV1; ESPAGNOL LV2; PHYSIQUE-CHIMIE; SCIENCES VIE & TERRE; MATHS COMPLEMENTAIRE; ANGLAIS LV SECTION
101;G;ANGLAIS LV1; ESPAGNOL LV2; NUMERIQUE SC.INFORM.; PHYSIQUE-CHIMIE;;
102;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE;;
103;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; HIST.GEO.GEOPOL.S.P.;;
104;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; MATHEMATIQUES;;
105;G;ANGLAIS LV1; ITALIEN LV2; MATHEMATIQUES; SCIENCES VIE & TERRE;;
106;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; HIST.GEO.GEOPOL.S.P.;;
107;F;ANGLAIS LV1; ARABE LV2 HORS ETAB; SC. ECONO.& SOCIALES; NUMERIQUE SC.INFORM.;;
108;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
109;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
110;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
111;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HUMAN.LITTER.PHILO.; MATHS COMPLEMENTAIRE;
112;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
113;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; ANGLAIS LV SECTION; DRT&ENJX.MDE CONTEMP
114;G;ANGLAIS LV1; ESPAGNOL LV2; NUMERIQUE SC.INFORM.; SC. ECONO.& SOCIALES;;
115;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES;;
116;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SC. ECONO.& SOCIALES; ANGLAIS LV SECTION;
117;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
118;F;ANGLAIS LV1; ITALIEN LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; ANGLAIS LV SECTION;
119;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; ARTS PLASTIQUES;
120;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES;;
